id,name
1531,Ritter ohne Furcht und Tadel
1533,Ghost Chase
1534,Jump!
1535,Formula-1
1536,Lord of the Fries
1537,C&O/B&O
1538,Het 1845 Spel
1539,Amro-Dam
1540,BattleTech
1542,Calamity!
1543,Dragon Quest
1544,Beyond Balderdash
1545,Flowerpower
1546,Worlds of Heroes & Tyrants
1547,Janus
1548,Libero
1549,Password
1550,Chebache
1551,Sub Search
1552,Illuminati: New World Order
1553,Judge 'n' Jury
1554,Total Attack!! Soccer
1555,Dungeon Dice
1556,Tenjo
1557,Space Empires
1558,Rogue Trooper
1559,Wabbit's Wevenge
1560,Hero
1561,Clue Master Detective
1563,Rise and Decline of the Third Reich
1564,Avanté
1566,Simply Cosmic
1567,Stockers!
1568,Space Crusade
1570,Sirocco
1571,Sanctuary
1572,Situation 4
1574,Tactics II
1575,Gettysburg (1977 Edition)
1576,Gettysburg (125th Anniversary edition)
1577,Source of the Nile
1578,RoadKill
1579,Wrasslin'
1580,Legends of Robin Hood
1581,London Cabbie Game
1582,Sicily: Triumph and Folly
1583,"Barbarossa: Army Group Center, 1941"
1585,Burma
1586,The Hobbit Adventure Boardgame
1588,Bauernschlau
1589,Star Fleet Battles
1590,Stocks & Bonds
1591,Ploy
1592,ChessMage: Deck of the Myriad Shards
1593,Down with the King
1594,Federation Space
1595,Tension
1596,Nevo
1597,Streetcar
1598,Olympica
1599,StarGate
1600,Russian Roulette
1601,Ivy Towers
1602,The Royal Game of Ur
1603,Cortez
1604,The Mad Magazine Game
1607,Blurt!
1608,Ambush!
1609,Creature Features
1610,The Worlds of Boris Vallejo
1611,Bullwinkle and Rocky Role Playing Party Game
